name, address,number,Availability,BGroup
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
","0884 2367366, ",NO,A+
District Headquarters Hospital,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",,,A+
M/s. G. S. L. Medical College General Hospital Blood Bank,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",0883 2484999,YES,A+
"M/s. Swatantra Hospital,  Blood Bank","D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.","0883 2464745, 0883 246569878, 0883 2461493",NO,A+
M/S. Dhanwantari Voluntary Blood Bank.,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",0833-2473050,YES,A+
M/s. Government Area General Hospital Blood Bank.,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",08854 252333,NO,A+
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",08854 251123,NO,A+
Government General Hospital Blood Bank,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",0863 2220035 (Ext No: 280),YES,A+
Indian Red Cross Society,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",,YES,A+
Indian Red Cross Society Blood Bank ,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",0863 2215656,NO,A+
Lions Club of Guntur Vision Blood Bank,"1st Floor, Somuvari Street, Kothapeta, Guntur","0863 2336198, 0863 2336199 ",YES,A+
Padmavathi Day & Night Blood Bank,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",,YES,A+
M/s. Needs Blood Bank ,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
","0863 6638222, 0863 6639222",YES,A+
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,"4th Floor, Behind Sivalayam Temple, Kothapeta
",0863 2219955,YES,A+
Saint Joseph General Hospital Blood Bank,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
","0863 2322700, 0863 2320386 ",NO,A+
NTR Memorial Trust Blood Bank,"Door No. 13-2-87, 1st Line G. V. Thota",0863 2339444 ,YES,A+
Katuri Medical College and Hospital Blood Bank ,"Katuri Nagar, Chinakondrupadu, Guntur
","0863 2288555, 0863 2288556 (Ext No. 234) ",YES,A+
NRI Medical College and General Hospital Blood Bank,"Mangalagiri Mandalam, Chinakakani, Guntur
","08645 236777, 08645 237401, 08645 230101",YES,A+
Manipal Hospital Bloodbank,"Soumyanagar, Tadepalli, Guntur",0866 2489700 (Ext No.102),YES,A+
Indian Red Cross Society Blood Bank. Narassraopet,"Area Hospital, Narasaraopeta ",8647224455,NO,A+
NRT Blood Bank,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",9542628888,YES,A+
Anjireddy Multi Specality Blood Bank ,"Gaganamma Temple, Piduguralla
",08649 254567,YES,A+
Red Cross Blood Bank," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",08648 223939,NO,A+
Area Hospital (Repeated),"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",,,A+
APVVP District Hospital Blood Bank,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",,YES,A+
Rudhira Voluntary Blood Bank,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali","08644 231222, 08644 654123",NO,A+
Best Rotary Blood Bank,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",NA,NO,A+
Area Hospital Blood Bank,Gudivada,08674 245040,NO,A+
Dr. Pattabhi Red Cross Blood Bank ,"DM & HO Campus, Machilipatnam",08672 230605,NO,A+
Government General Hospital (Repeated),"Government General Hospital, Ramavarapadu, Vijayawada - 520007",9866686760,,A+
Government District Headquarters Hospital machilipatnam blood bank,Machilipatnam, 08672 245040,NO,A+
Rotary Red Cross Blood Bank,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

","0866 2570082, 0866 6464002",YES,A+
Vijaya Sri Blood Bank,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",0866 2433199,YES,A+
Lions Blood Bank,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",0866 2434417,NO,A+
University General Hospital Blood Bank,"Ring Road, Gunadala, Vijayawada","0866 2452244, 0866 2453488",NO,A+
M/s. Chaitanya Blood Bank,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
","0866 2497977, 0866 645977",YES,A+
Nagarjuna Hospital Blood Bank,"Kanuru, Vijayawada",0866 2554701,NO,A+
Saint Ann&#39;s Hospital Blood Bank  ,"Punnammathota, Bandhar Road, Vijayawada - 2
",0866 2572057,NO,A+
Rotary Red Cross Blood Bank (Repeated),"26-5-5, G.S. Raju Road, Vijayawada ",2570082,NO,A+
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Chinnaoutapalli. ,08676 257311,YES,A+
Bethesda Blood Bank,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",0866 2435888,NO,A+
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",0866 2573636,YES,A+
Suraksha Voluntary Blood Bank,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",0866 2434499,YES,A+
M/s Ayush Nri Lepl Health Care Private Limited  ,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",0866 2541414,YES,A+
M/s. Nimra Institute of Medical Sciences ,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ","0866 6500000, 0866 6545454",YES,A+
"RCH -II Blood Bank, Area Hospital, Adoni","Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",,NO,A+
M/s. Indian Red Cross Society Blood Bank RCH 2,"First Floor, Government Area Hospital, Adoni, Kurnool
",NA,NO,A+
M/s. Government General Hospital Blood Bank,kurnool,,,A+
M/s. Indian Red Cross Society Blood Bank,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",08518 255347,YES,A+
M/s. Viswa Bharathi General Hospital Blood Bank,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",08518 283964,,A+
M/s. Viswa Bharathi Blood Bank,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",08518 22294,,A+
M/s. R.R. Hospital Blood Bank,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",08518 223131,YES,A+
District Hospital Blood Bank ,"District Hospital, Noonepalli, Nandyal, Kurnool
",8514221033,NO,A+
M/s. Shantiram Medical College & General Hospital Blood Bank,"(Shafa Educational Society) NH-18, Nandyal",,,A+
Government Hospital Blood Bank,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",,,A+
M/s. Area Hospital Blood Bank,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",8520026320,NO,A+
Indian Red Cross Society Blood bank,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",08596 223485,NO,A+
M/s. RIMS General Hospital Blood Bank,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",8592233310,NO,A+
Indian Red Cross Society Blood Bank,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",08592 236093,NO,A+
M/s. Life Line Volunytary Blood Bank,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",9247023117,NO,A+
M/s. Belief Blood Bank,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",08592 222345,YES,A+
Government Hospital Blood Bank,"Area Hospital Compound, Gudur
",,NO,A+
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),"Survey No.1083/3, R.D Office Compound, Kavali.",08626 244766,,A+
M/s. APVVP Area Hospital Blood Bank,Area Hospital Compound Kavali,,,A+
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,"Survey No.1083/3, R.D. Office Compound, Kavali
",08626 244766,NO,A+
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",0861 2320470,YES,A+
District Headquarters Hospital (Repeated),"District Headquarters Hospital, Dargamitta, Nellore",,,A+
D.S.R. Headquarters Hospital Blood Bank,"Government Hospital Compound, Nellore",0861 2349277,,A+
Narayana Medical College & Hospital Blood Bank,"Narayana Hospital compound, Nellore",0861 2317963,YES,A+
Gems Hospital Blood Bank,"Gems Hospital Premises, Ragolu, Srikakulam",NA,NO,A+
GMR Varalakshmi Care Hospital Blood Bank,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
","08941 253183, 08941 253184",YES,A+
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,"RIMS Government Hospital Premises, Balaga, Srikakulam
",08942 279679,YES,A+
Indian Red Cross Society (IRCS) Blood Bank,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


","08942 226555, 08942 226111",NO,A+
District Hospital,AH- ANAKAPALLI,,YES,A+
M/s. NTR Area Hospital Blood Bank,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",08924 223340,NO,A+
M/s. Visakha Steel General Hospital Blood Bank,"Ukkunagaram, Steel Plant, Visakhapatnam",0891 2887722,NO,A+
M/s. INHS Kalyani Blood Bank,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",0891 2814028,NO,A+
M/s. Anil Neerukonda Hospital  Blood Bank,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",8912821111 (Exte. No. 126),YES,A+
M/s. King George Hospital (KGH) Blood Bank ,"King George Hospital, Maharanipeta, Visakhapatnam",0891 2564891,YES,A+
M/s. Government Victoria Hospital Blood Bank,"Women & Children Hospital Blood Bank, Visakhapatnam",0891 2562637 ,NO,A+
M/s. Indian Red Cross Society Blood Bank ,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",0891 2703953,YES,A+
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
","0891 6534635, 0891 2506678",YES,A+
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",0891 2727272 ,NO,A+
M/s. Seven Hills Hospital Blood Bank,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",0891 6677777,NO,A+
 A. S. Raja Voluntary Blood Bank,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
","0891 2543436,0891 6663436,0891 6644936.",YES,A+
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
","0891 6692587, 0891 6692580, 0891 6692590",YES,A+
M/s. N.T.R. Memorial Trust Blood Bank ,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
","0891 2565858, 0891 2555858",YES,A+
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",0891 2524777,YES,A+
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
","0891 2793741, 0891 2590131",YES,A+
"Indian Red Cross Society Blood Bank, RCH-II","Area Hospital Premises, First Floor, Belagam, Parvathipuram
",08963 222088,NO,A+
District Headquarters Hospital Blood Bank,"District Headquarters Hospital, Cantonment, Vizianagaram ",NA,YES,A+
Indian Red Cross Society Blood Bank,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",08922 272700,NO,A+
Srinivasa Nursing Home Blood Bank ,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",08922 275513 ,NO,A+
Maharaja Institute of Medical Sciences Blood Bank,"D.No. 31-15, Nellimarla, Vizianagaram",08922 244394,YES,A+
ASN Raju Charitable Trust Blood Bank,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",08816 225556,YES,A+
Uddaraju Anandaraju Foundation Blood Bank,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram","08816 230888, 08816 230878",NO,A+
M/s. Government Headquarters Hospital Blood Bank,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",08812 220333,NO,A+
M/s. Indian Red Cross Society Component Blood Bank," General Hospital Premises, Eluru, West Godavai
",08812 224722,YES,A+
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
","08812 288288, 08812 288299",YES,A+
M/s. Good Samaritan Blood Bank,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
","08812 246430, 08812 246947",NO,A+
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,"Government Hospital Premises, Jangareddygudem",08821 225305,NO,A+
Indian Red Cross Society Blood Bank narasapuram,"C/o. Community Healthcare Center, Narsapuram",08814 276656 ,NO,A+
Palakol Voluntary Blood Bank,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",08814 222678,YES,A+
Indian Red Cross Society Blood Bank Tanuku  (Repeated),"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",8819221184,,A+
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",08819 221184,NO,A+
Sri Buddala Narasimhamurty Voluntary Blood Bank,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",08819 225269,YES,A+
Rajiv Gandhi Institute of Medical Sciences Blood Bank,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",08562 225665,YES,A+
"Indian Red Cross Society, Blood Bank","D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",08562 272829,NO,A+
Boga Parvathamma Blood Bank ,"A unit of boga parvathamma memorial blood donation service organization,
d.no:7-137, second floor, jayanagar colony , Kadapa
  ",NA,NO,A+
Rajiv Gandhi Institute of Medical Sciences Blood Bank ,"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",,YES,A+
Fathima Institute of Medical Sciences Blood Bank,"Ramarajupalli, Pulivendula Road Kadapa","08562 200505, 08562 200092",YES,A+
District Hospital Blood Bank ,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",,NO,A+
A.P Vaidyavidhanaparishad Area Hospital Blood Bank,"Proddatur, YSR",,YES,A-
A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,"Ground Floor, Muddanuru Road, Pulivendula",,NO,A-
Changlang District Hospital Blood Bank,"District Hospital, Changlang District, Arunachal Pradesh",,NO,A-
Pasighat General Hospital Blood Bank,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52. ",,NO,A-
Lohit District Hospital Blood Bank,"District Hospital Tezu, Lohit District, Arunachal Pradesh",,NO,A-
General Hospital Ziro  Blood Bank,"General Hospital Ziro, Lower Subansiri
 
",,NO,A-
Ramakrishna Mission Hospital Blood bank,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,
"," 0360-221 2263, 221 8780",NO,A-
Arunachal State Hospital Blood Bank,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",,NO,A-
Tawang District Hospital Blood Bank,"District Hospital, Tawang District , Arunachal Pradesh",,NO,A-
Tawang District Hospital Blood Bank ,"Bomdila,Tawang",,,A-
District Hospital Blood Bank,"Roing,Tezu, Upper Siang",,,A-
Upper Siang District Hospital Blood Bank,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",03777 222545,NO,A-
Upper Subansiri District Hospital Blood Bank,"District Hospital Daporijo, Upper Subansiri District, 
Arunachal Pradesh",,NO,A-
West Siang District Hospital Blood Bank,"District Hospital, Medical Complex, Aalo",,NO,A-
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",03665 252088,NO,A-
Bongaigaon Civil Hospital Blood Bank,"Main Road, Mayapuri,Bongaigaon",03664 228103,NO,A-
Lower Assam Hospital Blood Bank,"Chapaguri Road, North Bongaigaon",3664230465,YES,A-
Silchar Medical College and Hospital Blood Bank,"Krishnapur Medical Road, Ghungoor, Silchar
",03842 229103,YES,A-
Indian Red Cross Children Hospital Blood Bank,"Indian Red Cross Children Hospital, Tarapur, Silchar",N/A,NO,A-
Barak Blood Bank and Clinical Research Centre,"Central Rd, Tarapur, Kanakpur Part-II", 03842 222 185,NO,A-
Bongaigaon Refinery (BRPL) Hospital Blood Bank ,"BRPL Refinery, iocl/bgr township","03664254669, 03664253253",NO,A-
Mangaldoi Civil Hospital Blood Bank,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",03713 222024,NO,A-
Dhemaji Civil Hospital Blood Bank,"Ward No:9, Lachit Nagar, Natun Nagar Rd",N/A,NO,A-
Dhubri Civil Hospital Blood Bank,"Jhagrarpar, Dhubri","0366 223 2558, 03662 230959",NO,A-
Assam Medical College and Hospital Blood Bank,"Barbari, Dibrugarh",3732303731,YES,A-
Dr. Damani&#39;s Nursing Home Blood Bank,"L.G.B. Avenue, Near Circuit House",0373 2300928,NO,A-
Aditya Diagnostic Hospital Blood Bank,"Bordoloi Avenue, Dibrugarh","0373 2302219, 0373 2302220",NO,A-
Sri Manta Sankardeva Hospital and Research Centre Blood Bank,"Chowkindinge, Mancotta Road","00373 2327717, 0373 2327715",NO,A-
Dirial Central Hospital Blood Bank,"Diral Tea estate, Hoogrijan",N/A,NO,A-
Oil India Limited Hospital Blood Bank,"Oil Hospital, Duliajan",0374 2806356,NO,A-
Haflong Civil Hospital Blood Bank ,"NH 54, Songpijaang, Haflong",03673 236 555,NO,A-
Goalpara Civil Hospital Blood Bank,"Agia Road, Goalpara","03663240337, 03663 243800",NO,A-
Solace Hospital and Research centre Pvt.Ltd Blood bank,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump","03663 240021, 03663 243031",NO,A-
Kushal Konwar (KK) Civil Hospital Blood Bank,"Abita Building, 1st floor,  Golaghat Near stataion Rd
","00377 428 0042, 03774 280265",NO,A-
Vivekananda Kendra NRL Hospital Blood Bank,"NRL Township, Numaligarh Refinery Complex","03776-266-566,03776-266-700",NO,A-
S. K. Roy Civil Hospital Blood Bank ,"Hailakandi Civil Hospital, NH 154, Bashdahar, Hailakandi","03744 281443, 03744 222423",NO,A-
Jorhat Medical College and Hospital Blood Bank ,"Telemedicine Department, KB Road, Kushal Nagar, Tarajan",0376 2370155,YES,A-
Air Force Hospital Blood Bank,"Air Force station, Jorhat, 5, C/O 99 APO",N/A,NO,A-
Greater Jorhat Lions Blood Bank,"Lions Multiple Service Centre, Sonali Jayanti Nagar",N/A,NO,A-
Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank,"Panbazar, Guwahati",0361 2733004,NO,A-
Dispur Blood Bank,"Ganeshguri, Dispur",0825 399124 ext 222,YES,A-
Saharia&#39;s Path Lab & Blood Bank,"Guwahati - Shillong Rd, Near Petrol Pump, ABC, Bhangagarh
Opposite Anil Plaza","0361-2458595, 0361 245 8594",YES,A-
International Hospital Blood Bank,"Lotus Tower, G.S. Road, Christian Basti",3617135005,YES,A-
Hayat Hospital Blood Bank,"Odalbakra, Lalganesh",0361-2475550/51/52/53/54,NO,A-
Rahman Hospital Private Limited Blood Bank,"VIP Road, Sixmile, Khanapara, ",0361 233444,NO,A-
GNRC Institute of Medical Sciences Blood bank,"Sila Grant Town, North Guwahati , Near IIT Guwahati","03612227700, 03612227701",YES,A-
Central Hospital N. F. Railway Blood Bank,"PNGB Road, Near Kamakhya Railway Station, Maligaon, Guwahati","03612723762, 03612570492",NO,A-
G.N.R.C. Hospital Blood Bank,"Dispur, Guwahati",0361 2227700,NO,A-
Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank,"GMCH Complex, GMCH Rd, Bhangagarh, Guwahati",0361 252 9457,YES,A-
Dr. B. Borooah Cancer Institute Blood Bank,"Gopinath Nagar, Birubari, Guwahati","0361 2472366, 0361 2472636",YES,A-
Assam Gujarat Voluntary Blood Bank and Research Centre,"33, Anil Mazamill Road, Lane opposite to Apsara Cinema, 
Manipuri Basti",N/A,NO,A-
Down Town Hospital Blood Bank ,"4th Floor, Buiding No:1, G.S. Road, Dispur","00361 2332741, 0361 2334168",YES,A-
Ganga Hospital Blood Bank,"G. S. Road, Lachit Nagar, Ulubari, 
Near KFC; Neubari",0361 2454742,YES,A-
 Surakhya  Blood Bank ,"Arya Hospital complex, A.M. Road, Rehabri
Opposite Apsara Cinema Hall","03612606665, 0361 2606888",NO,A-
Marwari Hospital and Research Centre Blood Bank,"Sati Jaymati Road, Athgaon",0361 2733737,YES,A-
151 Base Hospital Blood Bank,"Basistha, Guwahati",N/A,NO,A-
Sanjevani Hospital Blood Bank,"Maligaon,  Guwahati",0361 2674892,NO,A-
Narayana Hrudayalaya Limited Blood Bank,"Tularam Bafana Civil Hospital Campus, North Guwahati, Amingaon.",3612680321,YES,A-
Diphu Civil Hospital Blood Bank,"Diphu, Karbi Anglong",,NO,A-
Karimganj Civil Hospital Blood Bank,Karimganj,"03843260490, 03844 263200",NO,A-
R.N.B. Civil Hospital Blood Bank,"Habrubil, Gossaigaon, Kokrajhar",03661 276436,NO,A-
North Lakhimpur Civil Hospital Blood Bank,North Lakhimpur,"03752 242240, 03752 243182",NO,A-
Morigaon Civil Hospital Blood Bank,"KK Handique Path, Ward Number 7, Rajagaon, ",N/A,NO,A-
Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank,"Hojai, Nagaon",03674-252514,NO,A-
Divisional Railway Headquarters Hospital Blood Bank,Lumding  ,N/A,NO,A-
B.P. Civil Hospital Blood Bank,"Civil Road, Nagaon",03672-251105,NO,A-
North East Blood Bank and Research Centre,"N.H. 37, Haibargaon, ",03672 223351,NO,A-
S. M. K. Civil Hospital Blood Bank ,Maszid Road ,03624-223555,NO,A-
Nalbari Maternity Hospital Blood Bank,Alternative Road,3624220840,NO,A-
O.N.G.C. Limited Hospital Blood Bank,Sivasagar ,N/A,NO,A-
Pragati Hospital and Research Centre Blood Bank,"A.T. Road, Sivsagar",,NO,A-
Sivasagar Civil Hospital Blood Bank,Joysagar,,NO,A-
Catholic Hospital Blood Bank,Borgang,3715291162,NO,A-
Kanaklata Civil Hospital Blood Bank,"Main Road, Tezpur","003712-252999, 03712 220033",NO,A-
155 Base Hospital Blood Bank,Tezpur  ,N/A,NO,B+
Tezpur Medical College Hospital Blood Bank ,Bihaguri,03712 241344,NO,B+
Indian Oil Corp Ltd (AOD) Hospital blood bank,"IOCL, Assam Division, Digboi",03751-263515,NO,B+
